name,id,smc section,rhb section,f section,height m,height f,map 50,map 25,gref,gref2,x,y,air_closest,air_closest_x,air_closest_y,air_closest_pass_scotland,air_closest_pass_AF,air_closest_pass_AS,air_closest_pass_CA,air_closest_pass_EU,air_closest_pass_NA,air_closest_pass_OC,air_closest_pass_SA,air_closest_total,road_closest,road_closest_type,road_closest_numbers_2019_daily_av,road_closest_distance_m,road_closest_angle,road_closest_x,road_closest_y,station_closest_name,station_closest_line,station_closest_x,station_closest_y,station_closest_route_max_4_weeks,station_closest_route_commuter,station_closest_route_off peak,station_closest_route_peak,station_closest_route_total,station_closest_route_percent off peak
Beinn Eunaich,62,3,03C,3.3,989,3245,50,377W,NN135327,NN1356232797,213562,732797,Glasgow,247644,666892,22,214,2555,0,3669,1636,839,158,9093,B8077,B Road,,4954.070762,258.0064929,212532.5399,727951.0709,Loch Awe,OBN2,212428.6395,727461.9853,2019/P08,31868,200738,112875,9093,0.576131615
Beinn Fhada,203,11,11A,11.1,1032,3386,33,414N,NH018192,NH0185519253,201855,819253,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A87,A Road,2096.384615,21227.91267,134.8970716,186871.5885,834290.342,Stromeferry,KYL,186518.6708,834644.53,2019/P08,31868,200738,112875,4085,0.576131615
Beinn Fhionnlaidh,58,3,03B,3.2,959,3146,50,384,NN095497,NN0950949769,209509,749769,Glasgow,247644,666892,22,214,2555,0,3669,1636,839,158,9093,A82,A Road,12752.39019,20190.57693,243.6215321,200538.3563,731680.6903,Taynuilt,OBN2,200316.207,731232.7509,2019/P08,31868,200738,112875,9093,0.576131615
Beinn Fhionnlaidh,58,3,03B,3.2,959,3146,50,384,NN095497,NN0950949769,209509,749769,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A82,A Road,12752.39019,20190.57693,243.6215321,200538.3563,731680.6903,Taynuilt,OBN2,200316.207,731232.7509,2019/P08,31868,200738,112875,4085,0.576131615
Beinn Fhionnlaidh,210,11,11A,11.1,1004.7,3296,25,414N,NH115282,NH1156028271,211560,828271,Glasgow,247644,666892,22,214,2555,0,3669,1636,839,158,9093,A87,A Road,2096.384615,21424.10489,150.5761337,192899.4064,838795.9474,Attadale,KYL,192463.9018,839041.5807,2019/P08,31868,200738,112875,9093,0.576131615
Beinn Fhionnlaidh,210,11,11A,11.1,1004.7,3296,25,414N,NH115282,NH1156028271,211560,828271,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A87,A Road,2096.384615,21424.10489,150.5761337,192899.4064,838795.9474,Attadale,KYL,192463.9018,839041.5807,2019/P08,31868,200738,112875,4085,0.576131615
Beinn Ghlas,37,2,02B,2.2,1103,3619,51,OL48E 378E,NN625404,NN6253040463,262530,740463,Glasgow,247644,666892,22,214,2555,0,3669,1636,839,158,9093,A827,A Road,1513.814516,26232.53787,139.3402967,242630.1863,757555.2046,Rannoch,WHL,242250.8899,757880.9871,2019/P08,31868,200738,112875,9093,0.576131615
Beinn Ime,17,1,01D,1.4,1011,3317,56,OL39S 364S,NN254084,NN2549608490,225496,708490,Glasgow,247644,666892,22,214,2555,0,3669,1636,839,158,9093,A83,A Road,2596.6,6406.323096,324.7811954,230729.682,704795.4704,Arrochar & Tarbet,WHL,231138.1598,704507.1202,2019/P08,31868,200738,112875,9093,0.576131615
Beinn Iutharn Mhor,123,6,06B,6.2,1045,3428,43,OL52N 387N,NO045792,NO0456679279,304566,779279,Dundee,337735,729353,3,0,6,0,119,3,0,0,131,A93,A Road,5186.125,21929.54972,218.6562775,287441.0545,765580.7742,Blair Atholl,HGL2,287050.6008,765268.4507,2019/P08,31868,200738,112875,131,0.576131615
Beinn Liath Mhor,240,13,13B,13.2,926,3038,25,429,NG964519,NG9640951981,196409,851981,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A896,A Road,667.1587302,4758.500394,317.7447819,199931.0369,848781.2215,Achnashellach,KYL,200301.1153,848445.0044,2019/P08,31868,200738,112875,4085,0.576131615
